# ops request [READ]
# type=script  id=desk-20260924-tmrw1
# code d2bc71b3c99d36b5590cae4b1cb227a38daf48c6 · started 2026-09-24T16:29:45Z
# desk board — 2026-09-24T16:29:45+00:00 — events scanned 8000, markets kept 65, shown 65
# filters: hours<=40.0 min_volume>=300 category~'' series^'' search~'' max_spread=None
# prices in cents; 'fee' = taker fee (cents) for ONE contract bought at the yes ask;
# a maker order pays ~0. break-even win% = (ask + fee) for YES, (no_ask + fee) for NO.
ticker                           close yes b/a   spr  fee    vol24        oi category       title
KXDIESELD-26SEP25-T6.555           13h   0/  1 sp  1 f  1 v   3551 oi   2616 Economics      Diesel prices tomorrow | Above $6.555
KXACTBLUETOP-26SEP25-MPEL          21h   0/  1 sp  1 f  1 v      0 oi  14067 Politics       Who will be the top ActBlue fundraiser on Sep 25, 2026? | Mary Peltola
KXCHICKENWINGM-26SEP25-T130        26h   1/  5 sp  4 f  1 v      0 oi   3299 Economics      Chicken wing · Average US wholesale price in September | Above 130¢ pe
KXUE-MEX26AUG-2.8                  19h  67/ 80 sp 13 f  2 v      0 oi   1024 Economics      Mexico unemployment rate in August | Above 2.8%
KXUE-MEX26AUG-2.9                  19h  41/ 62 sp 21 f  2 v      0 oi    586 Economics      Mexico unemployment rate in August | Above 2.9%
KXCHICKENWINGM-26SEP25-T140        26h   0/  2 sp  2 f  1 v      0 oi    676 Economics      Chicken wing · Average US wholesale price in September | Above 140¢ pe
KXUE-MEX26AUG-3.0                  19h  21/ 49 sp 28 f  2 v      0 oi    422 Economics      Mexico unemployment rate in August | Above 3.0%
KXCHICKENWINGM-26SEP25-T135        26h   0/  5 sp  5 f  1 v      0 oi    426 Economics      Chicken wing · Average US wholesale price in September | Above 135¢ pe
KXUE-MEX26AUG-3.1                  19h   2/ 15 sp 13 f  1 v      0 oi    364 Economics      Mexico unemployment rate in August | Above 3.1%
KXTXERCOTPEAKD-26SEP25-T80000      12h  97/100 sp  3 f  0 v      0 oi    308 Economics      Texas ERCOT peak electricity demand on Sep 24, 2026 | Above 80,000 MW
KXUE-MEX26AUG-3.2                  19h   1/ 20 sp 19 f  2 v      0 oi    285 Economics      Mexico unemployment rate in August | Above 3.2%
KXSENATEADJOURN-26-26SEP26         35h   0/ 99 sp 99 f  1 v      0 oi    301 Politics       When will the Senate leave for its pre-election recess? | Before Sep 2

# by category (kept markets, 24h volume)
  Economics                    n=38    vol24=27328
  Entertainment                n=17    vol24=25053
  Politics                     n=9     vol24=7519
  Science and Technology       n=1     vol24=1681
